State,District,AssessmentUnit,Rainfall_mm,GroundWaterAvailability_ham,ExtractionStage_Percent,ExtractionVolume_ha_m
BIHAR,BANKA,,974.9,65462.85999999999,50.33765748651793,5194.730005
BIHAR,BEGUSARAI,,1090.7,50653.359999999986,3.37538601489,0
BIHAR,BHAGALPUR,,1207.8999999999999,72112.64,49.15454915454916,1440.61631
BIHAR,BHOJPUR,,1051.5,80491.84,36.48310883376855,4579.962694999999
BIHAR,BUXAR,,975.4,58367.22,37.220100736470016,3929.6056219999996
BIHAR,DARBHANGA,,1123.6,70422.18000000001,19.63463119791799,432.79145
BIHAR,EAST CHAMPARAN,,1197.7000000000003,176663.16999999998,39.31986981119932,15229.902344999997
BIHAR,GAYA,,1003.9000000000002,121604.75000000001,58.255109710654374,5243.648399999999
BIHAR,GOPALGANJ,,1135.5,95682.65,46.63015051617889,8663.306025
BIHAR,JAMUI,,1107.3,45012.36,108.30453711521102,6483.486239999999
BIHAR,JEHANABAD,,936.6000000000001,31147.61,59.303737190079595,2851.675649999999
BIHAR,KAIMUR,,1126.3,74653.62,38.81882181838847,5061.866354999999
BIHAR,KATIHAR,,1342.7000000000003,109422.23999999999,20.331417334940554,1599.45555
BIHAR,KHAGARIA,,0,44158.22,,
BIHAR,KISHANGANJ,,0,62664.799999999996,,
BIHAR,LAKHISARAI,,1146.8,38763.27,33.946717783733305,3390.4171099999994
BIHAR,MADHEPURA,,1392.7,98038.44,32.74892508963882,7573.0937300000005
BIHAR,MADHUBANI,,1293.3,130736.80000000002,42.438534231602645,7999.217724999999
BIHAR,MUNGER,,1146.7999999999997,37833.56999999999,42.27675716487164,3114.8238599999995
BIHAR,MUZAFFARPUR,,1154.4999999999998,111162.45000000001,49.44239779698455,8456.27477
BIHAR,NALANDA,,1002.1999999999999,62276.35999999999,43.52812738736023,682.48138
BIHAR,NAWADA,,1041.8,65961.42,62.04835324363272,4571.282921999999
BIHAR,PATNA,,1074.8,98029.81,47.18349674595141,4496.453615
BIHAR,PURNEA,,1598.1999999999998,153922.22999999998,27.37649777022983,8773.87073
BIHAR,ROHTAS,,949.1,114671.23999999999,31.89137135100285,7274.714917
BIHAR,SAHARSA,,1692.8999999999996,63348.59,37.597350243793315,5612.488784
BIHAR,SAMASTIPUR,,1192.3,79957.99999999999,12.64529407981182,0
BIHAR,SARAN,,1123.7999999999997,100795.6,40.36431765961147,11638.903773999999
BIHAR,SHEIKHPURA,,1008.4000000000001,16973.15,39.8718316514226,593.626145
BIHAR,SHEOHAR,,1293.1000000000001,16443.370000000003,67.7932516796203,2383.62885
BIHAR,SITAMARHI,,0,65866.83,,
BIHAR,SIWAN,,1135.4,96578.65,44.842082617204085,11107.79242
BIHAR,SUPAUL,,1273.7999999999997,101447.59,21.48833145627977,7041.398521999999
BIHAR,VAISHALI,,1176.5,72896.53,49.66813525210099,4428.965649000001
BIHAR,WEST CHAMPARAN,,1472,168862.7,27.229350567795386,10880.611090999997
CHANDIGARH,CHANDIGARH,,0,4786.58,,
CHHATTISGARH,BALOD,,1122.9,85005.82999999999,81.43554906653819,776.3812800000001
CHHATTISGARH,BALODA BAZAR,,1389.9367175722618,137045.7,33.337147208485284,1844.06541
CHHATTISGARH,BALRAMPUR,,1317,150836.07,22.71420271405469,60.98930999999999
CHHATTISGARH,BASTAR,,1362.6,97749.93000000001,11.742340073574796,34.006319999999995
CHHATTISGARH,BEMETARA,,1122.9,94897.17,82.18365209655674,472.0763999999999
CHHATTISGARH,BIJAPUR,,1528.1,134614.77000000002,4.284248332478194,0.13359
CHHATTISGARH,BILASPUR,,1103.2636540769722,105340.08,36.90433062959265,825.1788599999999
CHHATTISGARH,DANTEWADA,,1327.8999999999999,84007.62,0.19480519480519481,0.12044999999999999
CHHATTISGARH,DHAMTARI,,1385.3,108776.34000000001,69.42656720620764,697.51281
CHHATTISGARH,DURG,,1122.9,82247.44,54.86649807827669,529.94277
CHHATTISGARH,GARIABAND,,1385.3000000000002,82636.62,65.43206509929107,302.7675
CHHATTISGARH,GOURELA-PENDRA-MARWAHI,,1229.8,43248.34999999999,26.017209518518943,75.1827
CHHATTISGARH,JANJGIR-CHAMPA,,1386,84373.59999999999,14.686183650277831,1367.18415
CHHATTISGARH,JASHPUR,,1553.4173181710496,117519.59000000001,18.438898537773582,40.83912
CHHATTISGARH,KABIRDHAM,,1117,142351.95,24.58691304659755,205.88408999999996
CHHATTISGARH,KANKER,,1402.9209756980586,183681.85,11.186460438364682,62.016420000000004
CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,,1208.7,45246.79,41.10791012067235,142.95006
CHHATTISGARH,KONDAGAON,,1362.4,104731.24,76.8461404056823,52.341
CHHATTISGARH,KORBA,,1392,126562.06999999998,50.53884346783535,34.76187
CHHATTISGARH,KOREA,,1317,27701.850000000002,24.973786929590368,43.46055
CHHATTISGARH,MAHASAMUND,,1397.6869671948225,177026.72,36.65468262951105,352.23303
CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,,1317,108126.44,29.521103509579515,35.699189999999994
CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,,1208.7,44681,92.14923955422526,29.937299999999997
CHHATTISGARH,MUNGELI,,1351,54772.09999999999,25.08465836447245,456.7485899999999
CHHATTISGARH,NARAYANPUR,,1404.1,94243.31999999999,7.295437777739649,7.31898
CHHATTISGARH,RAIGARH,,1466,110109.42,16.90561977681029,115.59914999999998
CHHATTISGARH,RAIPUR,,1378.2569290358279,100472.01,46.93993686518527,1048.23693
